,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,crime_types_combined,crime_class_type_subtype,max_sentence
6881,2011,2014,Black,1.0,B Felony,Violent,Other Violent,Parole,1JD,0,1,1.0,True,Violent_Other Violent,B Felony_Violent_Other Violent,50.0
6882,2011,2014,White,0.0,Aggravated Misdemeanor,Drug,Drug Possession,Parole,2JD,0,1,0.0,False,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession,2.0
6883,2011,2014,White,1.0,Aggravated Misdemeanor,Violent,Assault,Parole,2JD,1,1,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6884,2011,2014,Hispanic,2.0,C Felony,Violent,Murder/Manslaughter,Parole,unknown,0,0,0.0,True,Violent_Murder/Manslaughter,C Felony_Violent_Murder/Manslaughter,10.0
6885,2011,2014,Black,3.0,B Felony,Drug,Trafficking,Parole,1JD,1,1,0.0,True,Drug_Trafficking,B Felony_Drug_Trafficking,50.0
6886,2011,2014,White,4.0,B Felony,Drug,Trafficking,Parole,3JD,1,1,0.0,True,Drug_Trafficking,B Felony_Drug_Trafficking,50.0
6887,2011,2014,White,2.0,C Felony,Property,Theft,Parole,7JD,0,1,1.0,True,Property_Theft,C Felony_Property_Theft,10.0
6888,2011,2014,White,1.0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,D Felony_Drug_Trafficking,5.0
6889,2011,2014,White,1.0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,D Felony_Drug_Trafficking,5.0
6890,2011,2014,White,1.0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,D Felony_Drug_Trafficking,5.0
6891,2011,2014,White,1.0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,D Felony_Drug_Trafficking,5.0
6892,2011,2014,White,1.0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,D Felony_Drug_Trafficking,5.0
6893,2011,2014,White,2.0,D Felony,Property,Theft,Parole,Interstate Compact,0,0,0.0,True,Property_Theft,D Felony_Property_Theft,5.0
6894,2011,2014,White,2.0,Felony - Enhanced,Drug,Trafficking,Parole,8JD,0,1,0.0,True,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking,10.0
6895,2011,2014,White,2.0,C Felony,Violent,Sex,Parole,1JD,0,1,0.0,True,Violent_Sex,C Felony_Violent_Sex,10.0
6896,2011,2014,White,2.0,C Felony,Property,Burglary,Parole,2JD,1,1,0.0,True,Property_Burglary,C Felony_Property_Burglary,10.0
6897,2011,2014,White,3.0,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0.0,True,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking,10.0
6898,2011,2014,White,3.0,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0.0,True,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking,10.0
6899,2011,2014,White,3.0,D Felony,Drug,Drug Possession,Parole,3JD,0,1,0.0,True,Drug_Drug Possession,D Felony_Drug_Drug Possession,5.0
6900,2011,2014,Black,3.0,Felony - Enhanced,Other,Other Criminal,Parole,7JD,0,1,0.0,True,Other_Other Criminal,Felony - Enhanced_Other_Other Criminal,10.0
6901,2011,2014,Black,1.0,D Felony,Public Order,OWI,Discharged – End of Sentence,unknown,0,0,0.0,True,Public Order_OWI,D Felony_Public Order_OWI,5.0
6902,2011,2014,White,2.0,B Felony,Drug,Trafficking,Parole,7JD,1,1,0.0,True,Drug_Trafficking,B Felony_Drug_Trafficking,50.0
6903,2011,2014,Hispanic,1.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,1,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6904,2011,2014,White,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,1.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6905,2011,2014,White,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,1.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6906,2011,2014,White,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,1.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6907,2011,2014,White,4.0,Felony - Enhanced,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0.0,True,Violent_Sex,Felony - Enhanced_Violent_Sex,10.0
6908,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Parole,1JD,1,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6909,2011,2014,White,2.0,D Felony,Public Order,OWI,Discharged – End of Sentence,unknown,1,0,0.0,True,Public Order_OWI,D Felony_Public Order_OWI,5.0
6910,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Sex,Special Sentence,2JD,1,1,0.0,False,Violent_Sex,Aggravated Misdemeanor_Violent_Sex,2.0
6911,2011,2014,White,3.0,C Felony,Property,Burglary,Parole,7JD,1,1,0.0,True,Property_Burglary,C Felony_Property_Burglary,10.0
6912,2011,2014,White,0.0,D Felony,Public Order,Weapons,Parole,2JD,0,1,0.0,True,Public Order_Weapons,D Felony_Public Order_Weapons,5.0
6913,2011,2014,White,2.0,C Felony,Drug,Trafficking,Parole,5JD,1,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6914,2011,2014,White,2.0,C Felony,Drug,Trafficking,Parole,4JD,0,1,1.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6915,2011,2014,American Native,2.0,Felony - Enhanced,Other,Other Criminal,Parole,Interstate Compact,1,1,0.0,True,Other_Other Criminal,Felony - Enhanced_Other_Other Criminal,10.0
6916,2011,2014,White,3.0,D Felony,Public Order,OWI,Parole,2JD,0,1,0.0,True,Public Order_OWI,D Felony_Public Order_OWI,5.0
6917,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6918,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6919,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6920,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6921,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6922,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6923,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6924,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6925,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6926,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
